Generating graphs for 28 (n,m) pairs with 10 iterations each
Total graphs to generate: 280
Using 30 parallel processes
Graph type: POWLAW
Sparsity: 3
✓ Generated graph n=10, m=31, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_10_31_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=20, m=89, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_20_89_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=30, m=164, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=30, m=164, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=20, m=89, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_20_89_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=30, m=164, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_6938562734920028532.txt (Time: 0.00s)
✓ Generated graph n=30, m=164, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=30, m=164, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=40, m=252, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_7599700178212337699.txt (Time: 0.00s)
✓ Generated graph n=40, m=252, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_1070244953599069350.txt (Time: 0.00s)
✓ Generated graph n=40, m=252, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_3881801951614183357.txt (Time: 0.00s)
✓ Generated graph n=30, m=164, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=40, m=252, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=40, m=252, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_6522163754831416203.txt (Time: 0.00s)
✓ Generated graph n=40, m=252, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=40, m=252, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_5739955973604961613.txt (Time: 0.00s)
✓ Generated graph n=30, m=164, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=50, m=353, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_1070244953599069350.txt (Time: 0.00s)
✓ Generated graph n=40, m=252, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_40_252_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=30, m=164, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_30_164_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_7032710160631691991.txt (Time: 0.00s)
✓ Generated graph n=70, m=585, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=50, m=353, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_6938562734920028532.txt (Time: 0.00s)
✓ Generated graph n=80, m=715, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=70, m=585, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=50, m=353, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_50_353_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=60, m=464, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=60, m=464, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_60_464_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=100, m=1000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=80, m=715, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=150, m=1837, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=80, m=715, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_3881801951614183357.txt (Time: 0.01s)
✓ Generated graph n=70, m=585, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_70_585_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_6522163754831416203.txt (Time: 0.01s)
✓ Generated graph n=80, m=715, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_5739955973604961613.txt (Time: 0.01s)
✓ Generated graph n=100, m=1000, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_7032710160631691991.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_1070244953599069350.txt (Time: 0.01s)
✓ Generated graph n=100, m=1000, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_7871178979383552919.txt (Time: 0.01s)
✓ Generated graph n=200, m=2828, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=90, m=853, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_7599700178212337699.txt (Time: 0.01s)
✓ Generated graph n=100, m=1000, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_6938562734920028532.txt (Time: 0.01s)
✓ Generated graph n=90, m=853, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_1353182403971399009.txt (Time: 0.02s)
✓ Generated graph n=90, m=853, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_7871178979383552919.txt (Time: 0.02s)
✓ Generated graph n=90, m=853, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_6938562734920028532.txt (Time: 0.02s)
✓ Generated graph n=100, m=1000, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_1353182403971399009.txt (Time: 0.01s)
✓ Generated graph n=250, m=3952, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=100, m=1000, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_1070244953599069350.txt (Time: 0.02s)
✓ Generated graph n=100, m=1000, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_3881801951614183357.txt (Time: 0.02s)
✓ Generated graph n=80, m=715, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_80_715_POWLAW_1070244953599069350.txt (Time: 0.02s)
✓ Generated graph n=150, m=1837, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_5739955973604961613.txt (Time: 0.02s)
✓ Generated graph n=90, m=853, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_90_853_POWLAW_5739955973604961613.txt (Time: 0.02s)
✓ Generated graph n=100, m=1000, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_6522163754831416203.txt (Time: 0.02s)
✓ Generated graph n=150, m=1837, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_3881801951614183357.txt (Time: 0.02s)
✓ Generated graph n=300, m=5196, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=100, m=1000, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_7599700178212337699.txt (Time: 0.02s)
✓ Generated graph n=100, m=1000, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_100_1000_POWLAW_5739955973604961613.txt (Time: 0.03s)
✓ Generated graph n=200, m=2828, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_7032710160631691991.txt (Time: 0.03s)
✓ Generated graph n=150, m=1837, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_7599700178212337699.txt (Time: 0.04s)
✓ Generated graph n=200, m=2828, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_1070244953599069350.txt (Time: 0.03s)
✓ Generated graph n=150, m=1837, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_6938562734920028532.txt (Time: 0.05s)
✓ Generated graph n=200, m=2828, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_6522163754831416203.txt (Time: 0.04s)
✓ Generated graph n=150, m=1837, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_1353182403971399009.txt (Time: 0.05s)
✓ Generated graph n=350, m=6547, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=200, m=2828, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_3881801951614183357.txt (Time: 0.05s)
✓ Generated graph n=250, m=3952, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_3881801951614183357.txt (Time: 0.05s)
✓ Generated graph n=200, m=2828, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_1353182403971399009.txt (Time: 0.06s)
✓ Generated graph n=250, m=3952, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_7599700178212337699.txt (Time: 0.06s)
✓ Generated graph n=200, m=2828, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_7871178979383552919.txt (Time: 0.07s)
✓ Generated graph n=250, m=3952, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_7032710160631691991.txt (Time: 0.06s)
✓ Generated graph n=150, m=1837, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_6522163754831416203.txt (Time: 0.08s)
✓ Generated graph n=300, m=5196, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_3881801951614183357.txt (Time: 0.08s)
✓ Generated graph n=400, m=8000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=150, m=1837, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_7871178979383552919.txt (Time: 0.11s)
✓ Generated graph n=150, m=1837, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_1070244953599069350.txt (Time: 0.12s)
✓ Generated graph n=300, m=5196, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_1070244953599069350.txt (Time: 0.09s)
✓ Generated graph n=250, m=3952, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_1070244953599069350.txt (Time: 0.11s)
✓ Generated graph n=150, m=1837, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_150_1837_POWLAW_7032710160631691991.txt (Time: 0.13s)
✓ Generated graph n=300, m=5196, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_7871178979383552919.txt (Time: 0.11s)
✓ Generated graph n=350, m=6547, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_5739955973604961613.txt (Time: 0.08s)
✓ Generated graph n=300, m=5196, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_7599700178212337699.txt (Time: 0.12s)
✓ Generated graph n=350, m=6547, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_7599700178212337699.txt (Time: 0.08s)
✓ Generated graph n=300, m=5196, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_7032710160631691991.txt (Time: 0.13s)
✓ Generated graph n=450, m=9545, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_450_9545_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=350, m=6547, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_7032710160631691991.txt (Time: 0.09s)
✓ Generated graph n=350, m=6547, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_1353182403971399009.txt (Time: 0.10s)
✓ Generated graph n=200, m=2828, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_6938562734920028532.txt (Time: 0.18s)
✓ Generated graph n=400, m=8000, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_5739955973604961613.txt (Time: 0.10s)
✓ Generated graph n=200, m=2828, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_5739955973604961613.txt (Time: 0.21s)
✓ Generated graph n=400, m=8000, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_7599700178212337699.txt (Time: 0.12s)
✓ Generated graph n=300, m=5196, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_1353182403971399009.txt (Time: 0.23s)
✓ Generated graph n=200, m=2828, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_200_2828_POWLAW_7599700178212337699.txt (Time: 0.32s)
✓ Generated graph n=500, m=11180, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=450, m=9545, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_450_9545_POWLAW_7599700178212337699.txt (Time: 0.14s)
✓ Generated graph n=450, m=9545, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_450_9545_POWLAW_3881801951614183357.txt (Time: 0.18s)
✓ Generated graph n=400, m=8000, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_7032710160631691991.txt (Time: 0.24s)
✓ Generated graph n=400, m=8000, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_3881801951614183357.txt (Time: 0.25s)
✓ Generated graph n=400, m=8000, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_7871178979383552919.txt (Time: 0.28s)
✓ Generated graph n=250, m=3952, seed=1353182403971399009, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_1353182403971399009.txt (Time: 0.36s)
✓ Generated graph n=450, m=9545, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_450_9545_POWLAW_7032710160631691991.txt (Time: 0.26s)
✓ Generated graph n=450, m=9545, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_450_9545_POWLAW_5739955973604961613.txt (Time: 0.29s)
✓ Generated graph n=500, m=11180, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_5739955973604961613.txt (Time: 0.17s)
✓ Generated graph n=550, m=12898, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_550_12898_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=300, m=5196, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_5739955973604961613.txt (Time: 0.56s)
✓ Generated graph n=500, m=11180, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_3881801951614183357.txt (Time: 0.25s)
✓ Generated graph n=250, m=3952, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_5739955973604961613.txt (Time: 0.60s)
✓ Generated graph n=500, m=11180, seed=1070244953599069350, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_1070244953599069350.txt (Time: 0.24s)
✓ Generated graph n=400, m=8000, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_400_8000_POWLAW_6522163754831416203.txt (Time: 0.52s)
✓ Generated graph n=500, m=11180, seed=7032710160631691991, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_7032710160631691991.txt (Time: 0.35s)
✓ Generated graph n=550, m=12898, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_550_12898_POWLAW_7871178979383552919.txt (Time: 0.24s)
✓ Generated graph n=550, m=12898, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_550_12898_POWLAW_7599700178212337699.txt (Time: 0.19s)
✓ Generated graph n=550, m=12898, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_550_12898_POWLAW_5739955973604961613.txt (Time: 0.24s)
✓ Generated graph n=600, m=14696, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_600_14696_POWLAW_6230961512046992311.txt (Time: 0.00s)
✓ Generated graph n=250, m=3952, seed=7871178979383552919, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_7871178979383552919.txt (Time: 0.92s)
✓ Generated graph n=250, m=3952, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_6938562734920028532.txt (Time: 0.93s)
✓ Generated graph n=500, m=11180, seed=7599700178212337699, type=POWLAW -> ./input/random_graphs/graph_500_11180_POWLAW_7599700178212337699.txt (Time: 0.62s)
✓ Generated graph n=350, m=6547, seed=3881801951614183357, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_3881801951614183357.txt (Time: 1.07s)
✓ Generated graph n=300, m=5196, seed=6938562734920028532, type=POWLAW -> ./input/random_graphs/graph_300_5196_POWLAW_6938562734920028532.txt (Time: 1.11s)
✓ Generated graph n=600, m=14696, seed=5739955973604961613, type=POWLAW -> ./input/random_graphs/graph_600_14696_POWLAW_5739955973604961613.txt (Time: 0.22s)
✓ Generated graph n=350, m=6547, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_350_6547_POWLAW_6522163754831416203.txt (Time: 1.12s)
✓ Generated graph n=250, m=3952, seed=6522163754831416203, type=POWLAW -> ./input/random_graphs/graph_250_3952_POWLAW_6522163754831416203.txt (Time: 1.22s)
