Generating graphs for 68 (n,m) pairs with 1 iterations each
Total graphs to generate: 68
Using 30 parallel processes
Graph type: POWLAW
Sparsity: 2
✓ Generated graph n=1000, m=100000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_100000_POWLAW_6230961512046992311.txt (Time: 3.15s)
✓ Generated graph n=500, m=4482, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_500_4482_POWLAW_6230961512046992311.txt (Time: 4.54s)
✓ Generated graph n=550, m=5006, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_550_5006_POWLAW_6230961512046992311.txt (Time: 6.70s)
✓ Generated graph n=1000, m=200000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_200000_POWLAW_6230961512046992311.txt (Time: 12.89s)
✓ Generated graph n=800, m=7715, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_800_7715_POWLAW_6230961512046992311.txt (Time: 13.83s)
✓ Generated graph n=650, m=6073, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_650_6073_POWLAW_6230961512046992311.txt (Time: 14.01s)
✓ Generated graph n=750, m=7163, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_750_7163_POWLAW_6230961512046992311.txt (Time: 18.17s)
✓ Generated graph n=950, m=9397, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_950_9397_POWLAW_6230961512046992311.txt (Time: 33.78s)
✓ Generated graph n=850, m=8271, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_850_8271_POWLAW_6230961512046992311.txt (Time: 33.96s)
✓ Generated graph n=900, m=8832, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_900_8832_POWLAW_6230961512046992311.txt (Time: 34.67s)
✓ Generated graph n=1000, m=300000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_300000_POWLAW_6230961512046992311.txt (Time: 73.01s)
✓ Generated graph n=1000, m=400000, seed=6230961512046992311, type=POWLAW -> ./input/random_graphs/graph_1000_400000_POWLAW_6230961512046992311.txt (Time: 180.74s)

Graph generation completed in 181.03 seconds
Successful: 68
Failed: 0
Total: 68
