Running experiments with 100 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant N with N=750, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.43,4096
Running klev variant 0 with N=750, sparsity=3, seed=1729...
      Average Passes: 3.38, Time/Memory: 2.91,3072
Running klev variant N with N=750, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.23,3072
Running kpath variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 2.20,4096
Running kpath variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.50,4096
Running klev variant 0 with N=800, sparsity=3, seed=1729...
      Average Passes: 3.47, Time/Memory: 3.29,3072
Running klev variant N with N=800, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.39,3072
Running kpath variant 0 with N=850, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 2.52,4096
Running kpath variant N with N=850, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.67,4096
Running klev variant 0 with N=850, sparsity=3, seed=1729...
      Average Passes: 3.42, Time/Memory: 3.51,3072
Running klev variant N with N=850, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.49,3072
Running kpath variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 2.59,4096
Running kpath variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 1.92,4096
Running klev variant 0 with N=900, sparsity=3, seed=1729...
      Average Passes: 3.43, Time/Memory: 3.81,3072
Running klev variant N with N=900, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.62,4096
Running kpath variant 0 with N=950, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 2.80,4096
Running kpath variant N with N=950, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.01,4096
Running klev variant 0 with N=950, sparsity=3, seed=1729...
      Average Passes: 3.41, Time/Memory: 4.06,3072
Running klev variant N with N=950, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.78,4096
Running kpath variant 0 with N=1000, sparsity=3, seed=1729...
      Average Passes: 3.0, Time/Memory: 3.02,4096
Running kpath variant N with N=1000, sparsity=3, seed=1729...
      Average Passes: 2.0, Time/Memory: 2.16,4096
Running klev variant 0 with N=1000, sparsity=3, seed=1729...
      Average Passes: 3.46, Time/Memory: 4.58,3072
Running klev variant N with N=1000, sparsity=3, seed=1729...
      Average Passes: 1.0, Time/Memory: 1.95,4096
