Running experiments with 1000 iterations, varying N from 10 to 10,000 and seed token 1729
Running kpath variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 5.19,4948
Running kpath variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 3.60,4848
Running klev variant 0 with N=700, sparsity=2, seed=1729...
      Average Passes: 3.74, Time/Memory: 6.54,4356
Running klev variant N with N=700, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 2.96,4596
Running kpath variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 6.08,5076
Running kpath variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.05,5020
Running klev variant 0 with N=800, sparsity=2, seed=1729...
      Average Passes: 3.78, Time/Memory: 8.40,4224
Running klev variant N with N=800, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 3.52,4712
Running kpath variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 6.82,5112
Running kpath variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 4.77,5188
Running klev variant 0 with N=900, sparsity=2, seed=1729...
      Average Passes: 3.81, Time/Memory: 10.29,4456
Running klev variant N with N=900, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.15,4668
Running kpath variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 7.54,5156
Running kpath variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 5.42,5332
Running klev variant 0 with N=1000, sparsity=2, seed=1729...
      Average Passes: 3.84, Time/Memory: 10.78,4436
Running klev variant N with N=1000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 4.68,4684
Running kpath variant 0 with N=1200, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 8.93,5676
Running kpath variant N with N=1200, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 7.27,5584
Running klev variant 0 with N=1200, sparsity=2, seed=1729...
      Average Passes: 3.86, Time/Memory: 13.01,4540
Running klev variant N with N=1200, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 6.51,5004
Running kpath variant 0 with N=1400, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 10.59,5900
Running kpath variant N with N=1400, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 7.69,5980
Running klev variant 0 with N=1400, sparsity=2, seed=1729...
      Average Passes: 3.9, Time/Memory: 15.72,4728
Running klev variant N with N=1400, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 7.97,4968
Running kpath variant 0 with N=1600, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 12.29,6192
Running kpath variant N with N=1600, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 10.09,6260
Running klev variant 0 with N=1600, sparsity=2, seed=1729...
      Average Passes: 3.94, Time/Memory: 18.06,4652
Running klev variant N with N=1600, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 9.25,5380
Running kpath variant 0 with N=1800, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 14.54,6360
Running kpath variant N with N=1800, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 11.04,6444
Running klev variant 0 with N=1800, sparsity=2, seed=1729...
      Average Passes: 3.94, Time/Memory: 22.14,4880
Running klev variant N with N=1800, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 11.08,5548
Running kpath variant 0 with N=2000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 13.73,6508
Running kpath variant N with N=2000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 13.24,6844
Running klev variant 0 with N=2000, sparsity=2, seed=1729...
      Average Passes: 3.94, Time/Memory: 24.14,4948
Running klev variant N with N=2000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 12.28,5488
Running kpath variant 0 with N=2500, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 17.69,7432
Running kpath variant N with N=2500, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 14.74,7440
Running klev variant 0 with N=2500, sparsity=2, seed=1729...
      Average Passes: 3.98, Time/Memory: 33.11,5124
Running klev variant N with N=2500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 16.06,6292
Running kpath variant 0 with N=3000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 25.36,8096
Running kpath variant N with N=3000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 19.19,8240
Running klev variant 0 with N=3000, sparsity=2, seed=1729...
      Average Passes: 4.0, Time/Memory: 41.57,5524
Running klev variant N with N=3000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 19.94,6736
Running kpath variant 0 with N=3500, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 33.26,8544
Running kpath variant N with N=3500, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 19.82,8772
Running klev variant 0 with N=3500, sparsity=2, seed=1729...
      Average Passes: 4.02, Time/Memory: 47.70,5800
Running klev variant N with N=3500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 22.30,7288
Running kpath variant 0 with N=4000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 36.42,9256
Running kpath variant N with N=4000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 24.93,9568
Running klev variant 0 with N=4000, sparsity=2, seed=1729...
      Average Passes: 4.02, Time/Memory: 54.54,5980
Running klev variant N with N=4000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 25.90,7548
Running kpath variant 0 with N=4500, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 45.25,9828
Running kpath variant N with N=4500, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 28.67,10036
Running klev variant 0 with N=4500, sparsity=2, seed=1729...
      Average Passes: 4.02, Time/Memory: 74.65,6108
Running klev variant N with N=4500, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 35.40,8136
Running kpath variant 0 with N=5000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 39.84,10608
Running kpath variant N with N=5000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 37.18,10656
Running klev variant 0 with N=5000, sparsity=2, seed=1729...
      Average Passes: 4.04, Time/Memory: 71.59,6320
Running klev variant N with N=5000, sparsity=2, seed=1729...
      Average Passes: 1.0, Time/Memory: 39.76,8400
Running kpath variant 0 with N=6000, sparsity=2, seed=1729...
      Average Passes: 3.0, Time/Memory: 53.19,11736
Running kpath variant N with N=6000, sparsity=2, seed=1729...
      Average Passes: 2.0, Time/Memory: 40.63,12444
